Program_Combo,ID,Count
"C25120C11 - Business Administration/Small Business Operations Cert, C25120C9 - Business Administration /Organizational Leadership Cert, C25620C1 - Supply Chain Management/Logistics & Distributions Mgmt Cert",[2589404.0],1
"C25120C11 - Business Administration/Small Business Operations Cert, C25120C12 - Business Administration /Entrepreneurship Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",[2673398.0],1
"C25120C13 - Business Administration /E-Marketing Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert, C25120C15 - Business Administration /Total Quality Management Cert, C25120C23 - Business Administration/Operations Leadership Certificate",[2647761.0],1
"C25120C16 - Business Administration /Project Leadership Certificate, C25120C24 - Business Administration/Project Management Certificate",[2788632.0],1
"C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C19 - Business Administration /Payroll & Benefits Specialist Cert, C25120C25 - Business Administration/Global Human Resources Certificate",[657204.0],1
"C25120C13 - Business Administration /E-Marketing Certificate, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",[2895514.0],1
"C25120C12 - Business Administration /Entrepreneurship Certificate, D35300 - Plumbing (Diploma)",[2667029.0],1
"C25120C10 - Business Administration /Business Foundations Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert, C55150C3 - Culinary Arts/Demi-Chef Certificate, C55150C4 - Culinary Arts/Food Service Fundamentals Certificate",[2782360.0],1
"C25110C3 - Hospitality Management/Hotel & Lodging Mgt Certificate, C25110C4 - Hospitality Management/Restaurant Management Certificate",[77645.0],1
"C25110C3 - Hospitality Management/Hotel & Lodging Mgt Certificate, C25120C11 - Business Administration/Small Business Operations Cert, C25120C22 - Business Administration /Leadership and Mgt Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",[2900297.0],1
"C25110C2 - Hospitality Management/Event Planning Certificate, C25120C9 - Business Administration /Organizational Leadership Cert",[2960242.0],1
"C25110C2 - Hospitality Management/Event Planning Certificate, C25110C3 - Hospitality Management/Hotel & Lodging Mgt Certificate, C25120C14 - Business Administration /Sales and Customer Service Cert",[108897.0],1
"C15240C1 - Horticulture Technology/Basic Landscape Maint Certificate, C25370C5 - Office Management/Legal Assistant Certificate",[1339468.0],1
"C15240C1 - Horticulture Technology/Basic Landscape Maint Certificate, C15240C3 - Horticulture Technology/Viticulture Certificate, C55230 - Esthetics Technology (Certificate)",[2943247.0],1
"C25590C1 - Information Technology/Java Programming Certificate, C25590C18 - Information Technology Basics Certificate, C25590C2 - Information Technology/C# Programming Certificate, C25590C20 - Information Technology/Python Programming Certificate, C25590C27 - Information Technology/Intro To iOS Devel Using Swift Cert, C25590C3 - Information Technology/Mobile Application Development Cert, C25590C5 - Information Technology/Database Programming Certificate",[2485038.0],1
"C25450H2 - Simulation and Game Development, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",[2786028.0],1
"C25450H2 - Simulation and Game Development, C30100H1 - Graphic Design/Graphic Design Basics Certificate",[2984086.0],1
"C25450H1 - Simulation and Game Development, C30100H1 - Graphic Design/Graphic Design Basics Certificate",[2850814.0],1
"C25450H1 - Simulation and Game Development, C25590H9 - Information Technology/Cisco Entry Networking Certificate",[3011156.0],1
"C25450H1 - Simulation and Game Development, C25590H3 - Information Technology/Haredware and Software Certificate",[3016927.0],1
"C25450C3 - Simulation and Game Development/Sg Programming Cert, C25450C6 - Simulation and Game Development/3D Animation Certificate",[1225954.0],1
"C25450C2 - Simulation and Game Development/Interactive 3D Certificate, C25450C6 - Simulation and Game Development/3D Animation Certificate",[2946950.0],1
"C25370H2 - Office Management/Legal Office Foundations Certificate, C25590HC - Information Technology/Audio and Video Editing Cert",[2986158.0],1
"C25370C1 - Office Management/Basic Office Management Certificate, C25590C10 - Information Technology/Linux Certificate",[2710832.0],1
"C25310H2 - Medical Office Administration, C45420H1 - Medical Laboratory Technology/Clinical Laboratory Aide Cert",[2995523.0],1
"C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert, C45180 - Central Sterile Processing (Certificate)",[2870630.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C8 - Medical Office Administration/Adv Coding and Auditing Cert",[2952360.0],1
"C25310C3 - Medical Office Administration/Dental Office Spec Certificate, C25310C7 - Medical Office Administration/Healthcare Doucment Spec Cert, C25310C9 - Medical Office Administration/Electronic Health Records Spec, C25370C1 - Office Management/Basic Office Management Certificate",[2939250.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert",[1420603.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C5 - Medical Office Administration/Patient Services Rep Cert, C25310C6 - Medical Office Administration/Electronic Billing Spec Cert",[2917208.0],1
"C25120H1 - Business Administration, C35140H2 - Building Construction Technology/General Maintenance Cert",[3004600.0],1
"C25120H1 - Business Administration, C35100H1 - Air Conditioning, Heating & Refrigeration Technology/Basic",[3006820.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C3 - Medical Office Administration/Dental Office Spec Certificate, C25310C4 - Medical Office Administration/Inpatient Med Coding Spec Cert",[404678.0],1
"C25310C2 - Medical Office Administration/Medical Coding Spec Cert, C25310C3 - Medical Office Administration/Dental Office Spec Certificate",[2973639.0],1
"C25120H1 - Business Administration, C55400H1 - Manicuring/Nail Technology (Certificate)",[2982517.0],1
"C25290C2 - Web Technologies/Web Programming Certificate, C25290C4 - Web Technologies/Web Back-Office Certificate",[2475797.0],1
"C25120H1 - Business Administration, C55150H2 - Culinary Arts",[3005968.0],1
"C25120H1 - Business Administration, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",[2987675.0],1
"C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C25120C25 - Business Administration/Global Human Resources Certificate, C25370C1 - Office Management/Basic Office Management Certificate",[2861762.0],1
"C25120C17 - Business Administration /Equal Opp & Emp Relations Cert, C55180C12 - Criminal Justice Technology/Terrorism Studies Certificate, C55180C5 - Criminal Justice Technology/Courts and the Law Certificate, C55180C6 - Criminal Justice Technology/Principles of Corrections Cert, C5518CC1 - Criminal Justice Technology Forensic Science Certificate",[1034267.0],1
"C25120C21 - Business Administration /Govern Procure & Contracting Cert, C25120C23 - Business Administration/Operations Leadership Certificate, C25620C2 - Supply Chain Management/Trucking Logistics Foundations Cert",[2649564.0],1
